0	['0.0000', '2.0000', '0.0000', '0.0000', '1.0000', '3.0000', '3.0000', '1.0000', '3.0000', '3.0000']	['0.8960', '0.1040']	0.0
1	['0.0000', '0.0000', '1.0000', '1.0000', '1.0000', '3.0000', '3.0000', '3.0000', '1.0000', '0.0000']	['0.8805', '0.1195']	2.449489742783178
2	['0.0000', '3.0000', '2.0000', '1.0000', '0.0000', '2.0000', '0.0000', '2.0000', '2.0000', '1.0000']	['0.9635', '0.0365']	3.0
3	['3.0000', '0.0000', '2.0000', '1.0000', '1.0000', '2.0000', '2.0000', '0.0000', '3.0000', '2.0000']	['0.9421', '0.0579']	2.8284271247461903
4	['2.0000', '0.0000', '1.0000', '3.0000', '3.0000', '1.0000', '3.0000', '3.0000', '1.0000', '3.0000']	['0.1792', '0.8208']	2.8284271247461903
5	['1.0000', '3.0000', '2.0000', '0.0000', '2.0000', '2.0000', '2.0000', '2.0000', '0.0000', '1.0000']	['0.8710', '0.1290']	3.0
6	['2.0000', '0.0000', '1.0000', '3.0000', '3.0000', '1.0000', '2.0000', '0.0000', '2.0000', '1.0000']	['0.9125', '0.0875']	3.1622776601683795
7	['2.0000', '0.0000', '0.0000', '2.0000', '0.0000', '2.0000', '1.0000', '2.0000', '3.0000', '2.0000']	['0.9067', '0.0933']	2.8284271247461903
8	['1.0000', '2.0000', '3.0000', '3.0000', '0.0000', '3.0000', '3.0000', '2.0000', '0.0000', '3.0000']	['0.8005', '0.1995']	2.449489742783178
9	['1.0000', '1.0000', '0.0000', '1.0000', '2.0000', '1.0000', '1.0000', '2.0000', '2.0000', '3.0000']	['0.9389', '0.0611']	2.8284271247461903
10	['2.0000', '3.0000', '1.0000', '3.0000', '3.0000', '2.0000', '0.0000', '3.0000', '0.0000', '0.0000']	['0.1393', '0.8607']	3.1622776601683795
11	['2.0000', '0.0000', '3.0000', '0.0000', '1.0000', '2.0000', '3.0000', '3.0000', '2.0000', '1.0000']	['0.6820', '0.3180']	2.6457513110645907
12	['1.0000', '1.0000', '3.0000', '1.0000', '0.0000', '2.0000', '2.0000', '2.0000', '1.0000', '1.0000']	['0.9764', '0.0236']	3.1622776601683795
13	['1.0000', '2.0000', '1.0000', '3.0000', '0.0000', '3.0000', '1.0000', '2.0000', '0.0000', '0.0000']	['0.9440', '0.0560']	2.8284271247461903
14	['0.0000', '0.0000', '3.0000', '0.0000', '2.0000', '0.0000', '1.0000', '3.0000', '3.0000', '2.0000']	['0.9501', '0.0499']	2.6457513110645907
15	['0.0000', '1.0000', '3.0000', '3.0000', '1.0000', '3.0000', '3.0000', '1.0000', '1.0000', '0.0000']	['0.6765', '0.3235']	2.23606797749979
